Geneid,SRR31110490,SRR31110491,SRR31110500,SRR31110501,SRR31110510,SRR31110511,SRR31110520,SRR31110521,SRR31110528,SRR31110533,SRR31110538,SRR31110543
ENSG00000227091,3,7,31,29,22,2,12,16,15,20,21,17
ENSG00000081026,466,447,148,125,1165,475,334,606,803,278,854,546
ENSG00000143458,279,266,138,117,471,196,211,345,449,307,184,470
ENSG00000230932,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225036,0,0,0,0,0,0,0,0,0,4,0,2
ENSG00000250890,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000232240,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000234388,1,0,0,0,0,0,0,0,0,4,0,2
ENSG00000233717,0,0,3,0,4,0,0,0,1,2,2,2
ENSG00000163155,70,62,48,34,134,54,70,91,95,74,89,104
ENSG00000241975,11,8,1,5,15,8,4,17,11,4,5,18
ENSG00000270976,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228217,0,4,3,6,4,5,0,0,2,2,6,0
ENSG00000270342,0,1,7,3,0,0,0,1,0,5,0,2
ENSG00000116824,7,3,17,17,0,0,5,2,6,21,0,12
ENSG00000235887,0,1,0,0,0,0,0,0,2,0,0,0
ENSG00000235756,0,4,14,6,4,0,0,2,0,13,2,4
ENSG00000173810,0,0,12,6,0,0,2,2,0,7,0,0
ENSG00000271890,0,0,10,4,0,0,2,2,0,0,0,2
ENSG00000283360,6,2,10,2,4,1,1,5,2,11,9,14
ENSG00000117262,47,55,16,13,79,25,51,72,51,43,40,35
ENSG00000227970,0,0,1,2,2,0,0,0,0,3,0,4
ENSG00000231613,1,0,8,4,1,0,0,0,8,10,0,4
ENSG00000236689,0,0,0,0,0,0,0,0,1,2,0,0
ENSG00000226028,0,0,2,6,0,0,0,0,2,5,2,0
ENSG00000203825,0,3,35,10,6,0,6,8,9,36,2,25
ENSG00000184371,263,226,186,105,384,122,226,381,411,452,185,527
ENSG00000233449,0,0,9,8,0,0,0,0,0,4,0,2
ENSG00000242943,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232499,4,8,4,4,9,2,0,2,14,0,4,4
ENSG00000163154,14,19,12,18,30,20,10,35,36,28,23,32
ENSG00000232995,41,52,23,14,36,10,41,45,47,21,25,47
ENSG00000238087,0,2,10,8,0,0,4,1,0,8,0,2
ENSG00000143158,152,153,48,32,244,79,126,195,306,29,127,135
ENSG00000271092,9,6,0,0,2,2,6,8,6,0,0,6
ENSG00000232148,0,0,11,2,0,0,0,0,0,2,0,5
ENSG00000000460,89,78,45,19,50,18,69,80,144,49,38,128
ENSG00000135862,447,349,240,149,647,266,296,516,482,497,475,623
ENSG00000232952,6,4,13,4,10,12,10,12,20,12,8,4
ENSG00000260322,2,0,6,0,0,0,0,0,2,8,2,0
ENSG00000143156,195,196,38,26,190,75,158,299,170,80,114,134
ENSG00000198771,101,91,98,52,107,52,73,147,138,172,54,240
ENSG00000225462,0,0,22,6,0,0,4,0,4,12,0,8
ENSG00000237756,9,2,0,0,1,2,1,7,8,0,1,2
ENSG00000271187,0,0,0,0,2,0,0,0,0,2,6,0
ENSG00000231175,3,0,8,6,2,0,2,2,0,8,0,3
ENSG00000143185,0,0,0,0,2,2,0,0,0,6,0,4
